academic_year,semester,school,jae_course_code,course_name,gender,intake
2016,S1,SCHOOL OF DESIGN,C63,VISUAL COMMUNICATION,F,50
2016,S1,SCHOOL OF ENGINEERING,C89,"ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",M,114
2016,S1,SCHOOL OF ENGINEERING,C48,ELECTRICAL ENGINEERING WITH ECO-DESIGN,M,50
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,BUSINESS INFORMATICS,M,44
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,M,25
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,BUSINESS MANAGEMENT,M,124
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,FINANCIAL INFORMATICS,M,32
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,F,38
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,F,56
2016,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,F,33
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,F,15
2016,S1,SCHOOL OF ENGINEERING,C53,TELEMATICS & MEDIA TECHNOLOGY,F,12
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,ENGINEERING INFORMATICS,F,29
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,ENGINEERING INFORMATICS,M,77
2016,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DENTAL HYGIENE & THERAPY,M,4
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,F,45
2017,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,M,74
2017,S1,SCHOOL OF ENGINEERING,C75,MULTIMEDIA & INFOCOMM TECHNOLOGY,M,131
2017,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,M,240
2017,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,M,73
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,F,25
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,BANKING & FINANCE,F,72
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,F,39
2017,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,M,39
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,F,38
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,M,26
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C66,MOTION GRAPHICS & BROADCAST DESIGN,F,31
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,BUSINESS INTELLIGENCE & ANALYTICS,F,17
2017,S1,SCHOOL OF ENGINEERING,C62,DIGITAL & PRECISION ENGINEERING,F,17
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,M,42
2018,S1,SCHOOL OF DESIGN,C38,SUSTAINABLE ARCHITECTURAL DESIGN,F,26
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,F,22
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,M,28
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,F,34
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,F,4
2016,S1,SCHOOL OF ENGINEERING,C89,"ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",F,29
2016,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,F,24
2016,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,NURSING,M,107
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C57,DIGITAL VISUAL EFFECTS,M,20
2016,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,M,35
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,CYBER SECURITY & FORENSICS,M,47
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,F,43
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C70,GAME DEVELOPMENT & TECHNOLOGY,F,10
